                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 0.8056,                0.59143,                 1.0067,                0.81176,                0.64484,                0.71329,                0.48377,                  1.122,                 1.0442,                 1.2842,             0.00044576,             0.00044576,             0.00044576
                     76,                0.76856,                0.58849,                 1.0079,                0.75245,                0.67408,                0.70772,                0.48319,                 1.1234,                 1.0523,                 1.2821,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.7559,                0.57572,                 1.0022,                0.76278,                0.69282,                0.72764,                0.49861,                 1.1498,                 1.0159,                 1.2927,             0.00041275,             0.00041275,             0.00041275
                     78,                0.77111,                 0.5915,                 1.0214,                0.73693,                0.72505,                0.72329,                0.50372,                 1.1202,                 1.0219,                 1.2808,             0.00039625,             0.00039625,             0.00039625
                     79,                0.74935,                0.57386,                 1.0039,                0.81161,                0.64967,                0.71268,                0.49143,                 1.1448,                 1.0245,                 1.2973,             0.00037974,             0.00037974,             0.00037974
                     80,                0.75473,                0.55534,                 1.0026,                0.77151,                0.68673,                0.72932,                0.50377,                 1.1379,                0.99831,                 1.2958,             0.00036324,             0.00036324,             0.00036324
                     81,                0.77338,                0.56411,                 1.0036,                0.82574,                0.62693,                 0.7154,                 0.4995,                 1.1167,                 1.0184,                  1.271,             0.00034674,             0.00034674,             0.00034674
                     82,                0.74955,                0.56678,                  1.002,                 0.7774,                0.68257,                0.71886,                0.49875,                 1.1304,                 1.0415,                 1.2806,             0.00033023,             0.00033023,             0.00033023
                     83,                0.74362,                0.55515,                 1.0055,                0.76941,                0.69499,                0.71812,                0.49014,                 1.1108,                 1.0147,                 1.2816,             0.00031373,             0.00031373,             0.00031373
                     84,                0.74904,                0.55809,                 1.0084,                0.81971,                0.65707,                0.72648,                0.50338,                 1.0969,                 1.0309,                 1.2822,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.7494,                0.54454,                0.99828,                 0.8204,                0.64692,                0.72323,                0.50156,                 1.1047,                 1.0201,                 1.2998,             0.00028072,             0.00028072,             0.00028072
                     86,                0.72975,                0.53226,                0.99911,                0.78626,                0.66211,                  0.719,                0.49781,                 1.1193,                 1.0399,                 1.3111,             0.00026422,             0.00026422,             0.00026422
                     87,                0.75739,                0.54502,                0.99618,                0.75648,                0.68254,                0.72251,                0.49796,                 1.1286,                 1.0605,                 1.3137,             0.00024772,             0.00024772,             0.00024772
